NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS
Flathead,Montana,30,029,30029
Bonner,Idaho,16,017,16017
Clallam,Washington,53,009,53009
Sanders,Montana,30,089,30089
Lake,Montana,30,047,30047
Kootenai,Idaho,16,055,16055
Lewis and Clark,Montana,30,049,30049
Itasca,Minnesota,27,061,27061
Becker,Minnesota,27,005,27005
Ravalli,Montana,30,081,30081
Nez Perce,Idaho,16,069,16069
Cowlitz,Washington,53,015,53015
Morrison,Minnesota,27,097,27097
Clatsop,Oregon,41,007,41007
Gallatin,Montana,30,031,30031
Park,Montana,30,067,30067
Kanabec,Minnesota,27,065,27065
Brown,South Dakota,46,013,46013
Washington,Minnesota,27,163,27163
Valley,Idaho,16,085,16085
Campbell,Wyoming,56,005,56005
Sheridan,Wyoming,56,033,56033
Goodhue,Minnesota,27,049,27049
Le Sueur,Minnesota,27,079,27079
Rice,Minnesota,27,131,27131
Gem,Idaho,16,045,16045
Brown,Minnesota,27,015,27015
Deschutes,Oregon,41,017,41017
Blue Earth,Minnesota,27,013,27013
Dodge,Minnesota,27,039,27039
Cottonwood,Minnesota,27,033,27033
Steele,Minnesota,27,147,27147
Olmsted,Minnesota,27,109,27109
Freeborn,Minnesota,27,047,27047
Martin,Minnesota,27,091,27091
Houston,Minnesota,27,055,27055
Mower,Minnesota,27,099,27099
Fillmore,Minnesota,27,045,27045
Ada,Idaho,16,001,16001
Bonneville,Idaho,16,019,16019
Coos,Oregon,41,011,41011
Allamakee,Iowa,19,005,19005
Dickinson,Iowa,19,059,19059
O'Brien,Iowa,19,141,19141
Clay,Iowa,19,041,19041
Floyd,Iowa,19,067,19067
Minidoka,Idaho,16,067,16067
Fayette,Iowa,19,065,19065
Clayton,Iowa,19,043,19043
Curry,Oregon,41,015,41015
Twin Falls,Idaho,16,083,16083
Albany,New York,36,001,36001
Josephine,Oregon,41,033,41033
Cassia,Idaho,16,031,16031
Buchanan,Iowa,19,019,19019
Black Hawk,Iowa,19,013,19013
Dakota,Nebraska,31,043,31043
Albany,Wyoming,56,001,56001
Jackson,Iowa,19,097,19097
Benton,Iowa,19,011,19011
Crawford,Iowa,19,047,19047
Carroll,Iowa,19,027,19027
Boone,Iowa,19,015,19015
Marshall,Iowa,19,127,19127
Story,Iowa,19,169,19169
Madison,Nebraska,31,119,31119
Cedar,Iowa,19,031,19031
Johnson,Iowa,19,103,19103
Dodge,Nebraska,31,053,31053
Platte,Nebraska,31,141,31141
Will,Illinois,17,197,17197
Lucas,Ohio,39,095,39095
Kendall,Illinois,17,093,17093
Porter,Indiana,18,127,18127
Sullivan,Pennsylvania,42,113,42113
Henry,Illinois,17,073,17073
Mahaska,Iowa,19,123,19123
Washington,Iowa,19,183,19183
Warren,Iowa,19,181,19181
Sandusky,Ohio,39,143,39143
Henry,Ohio,39,069,39069
Clinton,Pennsylvania,42,035,42035
Kosciusko,Indiana,18,085,18085
Weber,Utah,49,057,49057
Lincoln,Nebraska,31,111,31111
Westchester,New York,36,119,36119
Rockland,New York,36,087,36087
Monroe,Pennsylvania,42,089,42089
Seneca,Ohio,39,147,39147
Armstrong,Pennsylvania,42,005,42005
Putnam,Ohio,39,137,39137
Wapello,Iowa,19,179,19179
Jefferson,Iowa,19,101,19101
Henry,Iowa,19,087,19087
Livingston,Illinois,17,105,17105
Cass,Nebraska,31,025,31025
Dawson,Nebraska,31,047,31047
Crawford,Ohio,39,033,39033
Van Wert,Ohio,39,161,39161
Wyandot,Ohio,39,175,39175
Page,Iowa,19,145,19145
Appanoose,Iowa,19,007,19007
Hardin,Ohio,39,065,39065
Otoe,Nebraska,31,131,31131
Lehigh,Pennsylvania,42,077,42077
McLean,Illinois,17,113,17113
Morrow,Ohio,39,117,39117
Marion,Ohio,39,101,39101
Adams,Nebraska,31,001,31001
Juniata,Pennsylvania,42,067,42067
Holmes,Ohio,39,075,39075
Bucks,Pennsylvania,42,017,42017
Jefferson,Ohio,39,081,39081
Knox,Ohio,39,083,39083
Logan,Ohio,39,091,39091
Gage,Nebraska,31,067,31067
Shelby,Ohio,39,149,39149
Grand,Colorado,08,049,08049
Coshocton,Ohio,39,031,39031
Harrison,Ohio,39,067,39067
Darke,Ohio,39,037,39037
Adair,Missouri,29,001,29001
Somerset,Pennsylvania,42,111,42111
Boulder,Colorado,08,013,08013
Hamilton,Indiana,18,057,18057
Guernsey,Ohio,39,059,39059
Hendricks,Indiana,18,063,18063
Perry,Ohio,39,127,39127
Summit,Colorado,08,117,08117
Douglas,Illinois,17,041,17041
Arapahoe,Colorado,08,005,08005
Fayette,Ohio,39,047,39047
Hocking,Ohio,39,073,39073
Atchison,Kansas,20,005,20005
Riley,Kansas,20,161,20161
Ross,Ohio,39,141,39141
Leavenworth,Kansas,20,103,20103
Highland,Ohio,39,071,39071
Sutter,California,06,101,06101
Lafayette,Missouri,29,107,29107
Gunnison,Colorado,08,051,08051
Jackson,Missouri,29,095,29095
Geary,Kansas,20,061,20061
Shawnee,Kansas,20,177,20177
Delta,Colorado,08,029,08029
Jackson,Ohio,39,079,39079
Pike,Ohio,39,131,39131
Boone,Kentucky,21,015,21015
Ellis,Kansas,20,051,20051
Callaway,Missouri,29,027,29027
El Dorado,California,06,017,06017
Fairfax,Virginia,51,059,51059
Cooper,Missouri,29,053,29053
Johnson,Kansas,20,091,20091
Gallia,Ohio,39,053,39053
Scioto,Ohio,39,145,39145
District of Columbia,District of Columbia,11,001,11001
St. Charles,Missouri,29,183,29183
Saline,Kansas,20,169,20169
Pettis,Missouri,29,159,29159
Napa,California,06,055,06055
Sonoma,California,06,097,06097
Rockingham,Virginia,51,165,51165
Mason,Kentucky,21,161,21161
Cole,Missouri,29,051,29051
Lyon,Kansas,20,111,20111
Morgan,Missouri,29,141,29141
Madison,Virginia,51,113,51113
Clark,Indiana,18,019,18019
Marion,Kansas,20,115,20115
Benton,Missouri,29,015,29015
Fleming,Kentucky,21,069,21069
Boyd,Kentucky,21,019,21019
Scott,Kentucky,21,209,21209
Augusta,Virginia,51,015,51015
Harrisonburg,Virginia,51,660,51660
Spotsylvania,Virginia,51,177,51177
Franklin,Kentucky,21,073,21073
Bourbon,Kentucky,21,017,21017
Shelby,Kentucky,21,211,21211
San Joaquin,California,06,077,06077
