NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS
Stevens,Washington,53,065,53065
Okanogan,Washington,53,047,53047
Flathead,Montana,30,029,30029
Bonner,Idaho,16,017,16017
Ward,North Dakota,38,101,38101
St. Louis,Minnesota,27,137,27137
Beltrami,Minnesota,27,007,27007
Chelan,Washington,53,007,53007
Clallam,Washington,53,009,53009
Island,Washington,53,029,53029
Grand Forks,North Dakota,38,035,38035
Polk,Minnesota,27,119,27119
Kootenai,Idaho,16,055,16055
Lewis and Clark,Montana,30,049,30049
Itasca,Minnesota,27,061,27061
Cass,Minnesota,27,021,27021
Burleigh,North Dakota,38,015,38015
Becker,Minnesota,27,005,27005
Stark,North Dakota,38,089,38089
Morton,North Dakota,38,059,38059
Otter Tail,Minnesota,27,111,27111
Ravalli,Montana,30,081,30081
Nez Perce,Idaho,16,069,16069
Walla Walla,Washington,53,071,53071
Pine,Minnesota,27,115,27115
Cowlitz,Washington,53,015,53015
Morrison,Minnesota,27,097,27097
Gallatin,Montana,30,031,30031
Burnett,Wisconsin,55,013,55013
Kanabec,Minnesota,27,065,27065
Isanti,Minnesota,27,059,27059
Clackamas,Oregon,41,005,41005
Wright,Minnesota,27,171,27171
Kandiyohi,Minnesota,27,067,27067
Washington,Minnesota,27,163,27163
Hennepin,Minnesota,27,053,27053
Valley,Idaho,16,085,16085
Codington,South Dakota,46,029,46029
Franklin,New York,36,033,36033
Carver,Minnesota,27,019,27019
Dakota,Minnesota,27,037,27037
Goodhue,Minnesota,27,049,27049
Wood,Wisconsin,55,141,55141
Lyon,Minnesota,27,083,27083
Le Sueur,Minnesota,27,079,27079
Pennington,South Dakota,46,103,46103
Brown,Minnesota,27,015,27015
Nicollet,Minnesota,27,103,27103
Blue Earth,Minnesota,27,013,27013
Waseca,Minnesota,27,161,27161
Dodge,Minnesota,27,039,27039
Olmsted,Minnesota,27,109,27109
Winona,Minnesota,27,169,27169
Blaine,Idaho,16,013,16013
Rutland,Vermont,50,021,50021
Faribault,Minnesota,27,043,27043
Freeborn,Minnesota,27,047,27047
Jackson,Minnesota,27,063,27063
Martin,Minnesota,27,091,27091
Houston,Minnesota,27,055,27055
Mower,Minnesota,27,099,27099
Fillmore,Minnesota,27,045,27045
Davison,South Dakota,46,035,46035
Washington,New York,36,115,36115
Ada,Idaho,16,001,16001
Klamath,Oregon,41,035,41035
Kossuth,Iowa,19,109,19109
Lyon,Iowa,19,119,19119
Bannock,Idaho,16,005,16005
Rensselaer,New York,36,083,36083
Schenectady,New York,36,093,36093
Twin Falls,Idaho,16,083,16083
Otsego,New York,36,077,36077
Knox,Nebraska,31,107,31107
Schoharie,New York,36,095,36095
Buchanan,Iowa,19,019,19019
Benton,Iowa,19,011,19011
Monona,Iowa,19,133,19133
Marshall,Iowa,19,127,19127
Ulster,New York,36,111,36111
Madison,Nebraska,31,119,31119
Sullivan,New York,36,105,36105
Box Elder,Utah,49,003,49003
Jasper,Iowa,19,099,19099
Poweshiek,Iowa,19,157,19157
Dallas,Iowa,19,049,19049
Johnson,Iowa,19,103,19103
Dodge,Nebraska,31,053,31053
Platte,Nebraska,31,141,31141
Will,Illinois,17,197,17197
Kendall,Illinois,17,093,17093
Lake,Indiana,18,089,18089
La Salle,Illinois,17,099,17099
Orange,New York,36,071,36071
Venango,Pennsylvania,42,121,42121
Forest,Pennsylvania,42,053,42053
Muscatine,Iowa,19,139,19139
Uinta,Wyoming,56,041,56041
