NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS
Flathead,Montana,30,029,30029
Bonner,Idaho,16,017,16017
Skagit,Washington,53,057,53057
St. Louis,Minnesota,27,137,27137
Beltrami,Minnesota,27,007,27007
Snohomish,Washington,53,061,53061
Sanders,Montana,30,089,30089
Lake,Minnesota,27,075,27075
Shoshone,Idaho,16,079,16079
Spokane,Washington,53,063,53063
Lake,Montana,30,047,30047
Lewis and Clark,Montana,30,049,30049
Itasca,Minnesota,27,061,27061
Cascade,Montana,30,013,30013
Missoula,Montana,30,063,30063
Kittitas,Washington,53,037,53037
Becker,Minnesota,27,005,27005
Thurston,Washington,53,067,53067
Yakima,Washington,53,077,53077
Crow Wing,Minnesota,27,035,27035
Lewis,Washington,53,041,53041
Benton,Washington,53,005,53005
Ravalli,Montana,30,081,30081
Yellowstone,Montana,30,111,30111
Pine,Minnesota,27,115,27115
Morrison,Minnesota,27,097,27097
Clatsop,Oregon,41,007,41007
Gallatin,Montana,30,031,30031
Park,Montana,30,067,30067
Kanabec,Minnesota,27,065,27065
Benton,Minnesota,27,009,27009
Stearns,Minnesota,27,145,27145
Tillamook,Oregon,41,057,41057
Washington,Oregon,41,067,41067
Isanti,Minnesota,27,059,27059
Chisago,Minnesota,27,025,27025
Multnomah,Oregon,41,051,41051
Sherburne,Minnesota,27,141,27141
Clackamas,Oregon,41,005,41005
Wright,Minnesota,27,171,27171
Yamhill,Oregon,41,071,41071
Anoka,Minnesota,27,003,27003
Washington,Minnesota,27,163,27163
Marion,Oregon,41,047,41047
Hennepin,Minnesota,27,053,27053
Valley,Idaho,16,085,16085
Polk,Oregon,41,053,41053
Lincoln,Oregon,41,041,41041
Campbell,Wyoming,56,005,56005
Carver,Minnesota,27,019,27019
Scott,Minnesota,27,139,27139
Linn,Oregon,41,043,41043
Kennebec,Maine,23,011,23011
Benton,Oregon,41,003,41003
Le Sueur,Minnesota,27,079,27079
Gem,Idaho,16,045,16045
Brown,Minnesota,27,015,27015
Androscoggin,Maine,23,001,23001
Wabasha,Minnesota,27,157,27157
Grafton,New Hampshire,33,009,33009
Deschutes,Oregon,41,017,41017
Knox,Maine,23,013,23013
Carroll,New Hampshire,33,003,33003
Lane,Oregon,41,039,41039
Blue Earth,Minnesota,27,013,27013
Dodge,Minnesota,27,039,27039
Cottonwood,Minnesota,27,033,27033
Steele,Minnesota,27,147,27147
Olmsted,Minnesota,27,109,27109
Winona,Minnesota,27,169,27169
Cumberland,Maine,23,005,23005
Douglas,Oregon,41,019,41019
Minnehaha,South Dakota,46,099,46099
Freeborn,Minnesota,27,047,27047
Martin,Minnesota,27,091,27091
Houston,Minnesota,27,055,27055
York,Maine,23,031,23031
Belknap,New Hampshire,33,001,33001
Bonneville,Idaho,16,019,16019
Klamath,Oregon,41,035,41035
Merrimack,New Hampshire,33,013,33013
Sullivan,New Hampshire,33,019,33019
Strafford,New Hampshire,33,017,33017
Natrona,Wyoming,56,025,56025
Winneshiek,Iowa,19,191,19191
Dickinson,Iowa,19,059,19059
Kossuth,Iowa,19,109,19109
Lincoln,Wyoming,56,023,56023
Rockingham,New Hampshire,33,015,33015
O'Brien,Iowa,19,141,19141
Clay,Iowa,19,041,19041
Floyd,Iowa,19,067,19067
Hillsborough,New Hampshire,33,011,33011
Minidoka,Idaho,16,067,16067
Cheshire,New Hampshire,33,005,33005
Curry,Oregon,41,015,41015
Bremer,Iowa,19,017,19017
Butler,Iowa,19,023,19023
Essex,Massachusetts,25,009,25009
Berkshire,Massachusetts,25,003,25003
Franklin,Massachusetts,25,011,25011
Middlesex,Massachusetts,25,017,25017
Worcester,Massachusetts,25,027,25027
Delaware,Iowa,19,055,19055
Buchanan,Iowa,19,019,19019
Black Hawk,Iowa,19,013,19013
Hampshire,Massachusetts,25,015,25015
Suffolk,Massachusetts,25,025,25025
Albany,Wyoming,56,001,56001
Hampden,Massachusetts,25,013,25013
Linn,Iowa,19,113,19113
Plymouth,Massachusetts,25,023,25023
Norfolk,Massachusetts,25,021,25021
Carroll,Iowa,19,027,19027
Boone,Iowa,19,015,19015
Bristol,Massachusetts,25,005,25005
Barnstable,Massachusetts,25,001,25001
Litchfield,Connecticut,09,005,09005
Hartford,Connecticut,09,003,09003
Tolland,Connecticut,09,013,09013
Windham,Connecticut,09,015,09015
Providence,Rhode Island,44,007,44007
Cedar,Iowa,19,031,19031
Polk,Iowa,19,153,19153
Guthrie,Iowa,19,077,19077
Iowa,Iowa,19,095,19095
Dallas,Iowa,19,049,19049
Johnson,Iowa,19,103,19103
Bristol,Rhode Island,44,001,44001
Kent,Rhode Island,44,003,44003
New London,Connecticut,09,011,09011
Newport,Rhode Island,44,005,44005
Fairfield,Connecticut,09,001,09001
Washington,Rhode Island,44,009,44009
Middlesex,Connecticut,09,007,09007
New Haven,Connecticut,09,009,09009
Cuyahoga,Ohio,39,035,39035
Uinta,Wyoming,56,041,56041
Washington,Iowa,19,183,19183
Warren,Iowa,19,181,19181
Henry,Ohio,39,069,39069
Dukes,Massachusetts,25,007,25007
Weber,Utah,49,057,49057
Douglas,Nebraska,31,055,31055
Nantucket,Massachusetts,25,019,25019
Huron,Ohio,39,077,39077
Hancock,Ohio,39,063,39063
Putnam,Ohio,39,137,39137
Wapello,Iowa,19,179,19179
Henry,Iowa,19,087,19087
Des Moines,Iowa,19,057,19057
Lancaster,Nebraska,31,109,31109
Moffat,Colorado,08,081,08081
Weld,Colorado,08,123,08123
Larimer,Colorado,08,069,08069
Crawford,Ohio,39,033,39033
Van Wert,Ohio,39,161,39161
Wyandot,Ohio,39,175,39175
Salt Lake,Utah,49,035,49035
Hardin,Ohio,39,065,39065
Utah,Utah,49,049,49049
Morgan,Colorado,08,087,08087
Union,Ohio,39,159,39159
York,Pennsylvania,42,133,42133
Madison,Ohio,39,097,39097
Garfield,Colorado,08,045,08045
Adams,Colorado,08,001,08001
Preble,Ohio,39,135,39135
Eagle,Colorado,08,037,08037
New Castle,Delaware,10,003,10003
Arapahoe,Colorado,08,005,08005
Washington,Ohio,39,167,39167
Randolph,Missouri,29,175,29175
Pike,Missouri,29,163,29163
Elbert,Colorado,08,039,08039
Douglas,Colorado,08,035,08035
Frederick,Virginia,51,069,51069
Pitkin,Colorado,08,097,08097
