NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS
Boundary,Idaho,16,021,16021
Flathead,Montana,30,029,30029
Glacier,Montana,30,035,30035
Cavalier,North Dakota,38,019,38019
Roseau,Minnesota,27,135,27135
Whatcom,Washington,53,073,53073
Bonner,Idaho,16,017,16017
Ward,North Dakota,38,101,38101
Koochiching,Minnesota,27,071,27071
Williams,North Dakota,38,105,38105
McHenry,North Dakota,38,049,38049
Marshall,Minnesota,27,089,27089
Ramsey,North Dakota,38,071,38071
Walsh,North Dakota,38,099,38099
Beltrami,Minnesota,27,007,27007
Chelan,Washington,53,007,53007
Clallam,Washington,53,009,53009
Sanders,Montana,30,089,30089
Lake,Minnesota,27,075,27075
Nelson,North Dakota,38,063,38063
Grand Forks,North Dakota,38,035,38035
Polk,Minnesota,27,119,27119
Pennington,Minnesota,27,113,27113
Lake,Montana,30,047,30047
Clearwater,Minnesota,27,029,27029
Kootenai,Idaho,16,055,16055
Lewis and Clark,Montana,30,049,30049
Itasca,Minnesota,27,061,27061
McLean,North Dakota,38,055,38055
Kittitas,Washington,53,037,53037
Norman,Minnesota,27,107,27107
Mahnomen,Minnesota,27,087,27087
Aroostook,Maine,23,003,23003
Hubbard,Minnesota,27,057,27057
Benewah,Idaho,16,009,16009
Stutsman,North Dakota,38,093,38093
Burleigh,North Dakota,38,015,38015
Barnes,North Dakota,38,003,38003
Becker,Minnesota,27,005,27005
Latah,Idaho,16,057,16057
Aitkin,Minnesota,27,001,27001
Stark,North Dakota,38,089,38089
Morton,North Dakota,38,059,38059
Clearwater,Idaho,16,035,16035
Custer,Montana,30,017,30017
Wadena,Minnesota,27,159,27159
Lewis,Washington,53,041,53041
Otter Tail,Minnesota,27,111,27111
Idaho,Idaho,16,049,16049
Ravalli,Montana,30,081,30081
Ashland,Wisconsin,55,003,55003
Emmons,North Dakota,38,029,38029
Wilkin,Minnesota,27,167,27167
Nez Perce,Idaho,16,069,16069
Iron,Wisconsin,55,051,55051
Somerset,Maine,23,025,23025
Penobscot,Maine,23,019,23019
Todd,Minnesota,27,153,27153
Morrison,Minnesota,27,097,27097
Deer Lodge,Montana,30,023,30023
Gallatin,Montana,30,031,30031
Park,Montana,30,067,30067
Sawyer,Wisconsin,55,113,55113
Burnett,Wisconsin,55,013,55013
Kanabec,Minnesota,27,065,27065
Grant,Minnesota,27,051,27051
Klickitat,Washington,53,039,53039
Traverse,Minnesota,27,155,27155
Umatilla,Oregon,41,059,41059
Price,Wisconsin,55,099,55099
Brown,South Dakota,46,013,46013
Beaverhead,Montana,30,001,30001
Marshall,South Dakota,46,091,46091
Roberts,South Dakota,46,109,46109
Pope,Minnesota,27,121,27121
Stevens,Minnesota,27,149,27149
Polk,Wisconsin,55,095,55095
Lemhi,Idaho,16,059,16059
Washington,Maine,23,029,23029
Barron,Wisconsin,55,005,55005
Kandiyohi,Minnesota,27,067,27067
Oxford,Maine,23,017,23017
Meeker,Minnesota,27,093,27093
Coos,New Hampshire,33,007,33007
Lac qui Parle,Minnesota,27,073,27073
Spink,South Dakota,46,115,46115
Dunn,Wisconsin,55,033,55033
Valley,Idaho,16,085,16085
Codington,South Dakota,46,029,46029
Clark,Wisconsin,55,019,55019
Clinton,New York,36,019,36019
Park,Wyoming,56,029,56029
Crook,Wyoming,56,011,56011
Big Horn,Wyoming,56,003,56003
Sheridan,Wyoming,56,033,56033
Franklin,New York,36,033,36033
McLeod,Minnesota,27,085,27085
Deuel,South Dakota,46,039,46039
Yellow Medicine,Minnesota,27,173,27173
Hand,South Dakota,46,059,46059
Renville,Minnesota,27,129,27129
Custer,Idaho,16,037,16037
Washington,Idaho,16,087,16087
Waldo,Maine,23,027,23027
Fremont,Idaho,16,043,16043
Sibley,Minnesota,27,143,27143
Kennebec,Maine,23,011,23011
Redwood,Minnesota,27,127,27127
Wood,Wisconsin,55,141,55141
Lyon,Minnesota,27,083,27083
Lincoln,Minnesota,27,081,27081
Lawrence,South Dakota,46,081,46081
Trempealeau,Wisconsin,55,121,55121
Johnson,Wyoming,56,019,56019
Essex,New York,36,031,36031
Le Sueur,Minnesota,27,079,27079
Kingsbury,South Dakota,46,077,46077
Brookings,South Dakota,46,011,46011
Pennington,South Dakota,46,103,46103
Gem,Idaho,16,045,16045
Brown,Minnesota,27,015,27015
Nicollet,Minnesota,27,103,27103
Hancock,Maine,23,009,23009
Grafton,New Hampshire,33,009,33009
Carroll,New Hampshire,33,003,33003
Blue Earth,Minnesota,27,013,27013
Juneau,Wisconsin,55,057,55057
Waseca,Minnesota,27,161,27161
Pipestone,Minnesota,27,117,27117
Dodge,Minnesota,27,039,27039
Murray,Minnesota,27,101,27101
Cottonwood,Minnesota,27,033,27033
Steele,Minnesota,27,147,27147
Olmsted,Minnesota,27,109,27109
Weston,Wyoming,56,045,56045
Monroe,Wisconsin,55,081,55081
Payette,Idaho,16,075,16075
Herkimer,New York,36,043,36043
Elmore,Idaho,16,039,16039
Jefferson,Idaho,16,051,16051
Fremont,Wyoming,56,013,56013
Blaine,Idaho,16,013,16013
Teton,Idaho,16,081,16081
Douglas,Oregon,41,019,41019
Madison,Idaho,16,065,16065
Faribault,Minnesota,27,043,27043
Rock,Minnesota,27,133,27133
Freeborn,Minnesota,27,047,27047
Nobles,Minnesota,27,105,27105
Jackson,Minnesota,27,063,27063
Martin,Minnesota,27,091,27091
Houston,Minnesota,27,055,27055
Mower,Minnesota,27,099,27099
Fillmore,Minnesota,27,045,27045
Davison,South Dakota,46,035,46035
York,Maine,23,031,23031
Washington,New York,36,115,36115
Warren,New York,36,113,36113
Vernon,Wisconsin,55,123,55123
Bingham,Idaho,16,011,16011
Merrimack,New Hampshire,33,013,33013
Strafford,New Hampshire,33,017,33017
Charles Mix,South Dakota,46,023,46023
Lincoln,South Dakota,46,083,46083
Worth,Iowa,19,195,19195
Mitchell,Iowa,19,131,19131
Allamakee,Iowa,19,005,19005
Winneshiek,Iowa,19,191,19191
Converse,Wyoming,56,009,56009
Osceola,Iowa,19,143,19143
Dickinson,Iowa,19,059,19059
Howard,Iowa,19,089,19089
Emmet,Iowa,19,063,19063
Lyon,Iowa,19,119,19119
Sublette,Wyoming,56,035,56035
Saratoga,New York,36,091,36091
Fulton,New York,36,035,36035
Rockingham,New Hampshire,33,015,33015
Sioux,Iowa,19,167,19167
O'Brien,Iowa,19,141,19141
Hancock,Iowa,19,081,19081
Palo Alto,Iowa,19,147,19147
Grant,Wisconsin,55,043,55043
Gooding,Idaho,16,047,16047
Minidoka,Idaho,16,067,16067
Cheshire,New Hampshire,33,005,33005
Yankton,South Dakota,46,135,46135
Fayette,Iowa,19,065,19065
