NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS
Okanogan,Washington,53,047,53047
Flathead,Montana,30,029,30029
Bonner,Idaho,16,017,16017
Ward,North Dakota,38,101,38101
St. Louis,Minnesota,27,137,27137
Beltrami,Minnesota,27,007,27007
Chelan,Washington,53,007,53007
Clallam,Washington,53,009,53009
Sanders,Montana,30,089,30089
Lake,Minnesota,27,075,27075
Grand Forks,North Dakota,38,035,38035
Polk,Minnesota,27,119,27119
Lake,Montana,30,047,30047
Kootenai,Idaho,16,055,16055
Lewis and Clark,Montana,30,049,30049
Hubbard,Minnesota,27,057,27057
Burleigh,North Dakota,38,015,38015
Becker,Minnesota,27,005,27005
Aitkin,Minnesota,27,001,27001
Crow Wing,Minnesota,27,035,27035
Otter Tail,Minnesota,27,111,27111
Ravalli,Montana,30,081,30081
Nez Perce,Idaho,16,069,16069
Morrison,Minnesota,27,097,27097
Gallatin,Montana,30,031,30031
Park,Montana,30,067,30067
Kanabec,Minnesota,27,065,27065
Umatilla,Oregon,41,059,41059
Brown,South Dakota,46,013,46013
Valley,Idaho,16,085,16085
Codington,South Dakota,46,029,46029
Park,Wyoming,56,029,56029
Sheridan,Wyoming,56,033,56033
Jefferson,Oregon,41,031,41031
Goodhue,Minnesota,27,049,27049
Lawrence,South Dakota,46,081,46081
Le Sueur,Minnesota,27,079,27079
Pennington,South Dakota,46,103,46103
Gem,Idaho,16,045,16045
Brown,Minnesota,27,015,27015
Blue Earth,Minnesota,27,013,27013
Waseca,Minnesota,27,161,27161
Dodge,Minnesota,27,039,27039
Steele,Minnesota,27,147,27147
Olmsted,Minnesota,27,109,27109
Elmore,Idaho,16,039,16039
Blaine,Idaho,16,013,16013
Madison,Idaho,16,065,16065
Freeborn,Minnesota,27,047,27047
Martin,Minnesota,27,091,27091
Houston,Minnesota,27,055,27055
Mower,Minnesota,27,099,27099
Fillmore,Minnesota,27,045,27045
Davison,South Dakota,46,035,46035
Allamakee,Iowa,19,005,19005
Winneshiek,Iowa,19,191,19191
Converse,Wyoming,56,009,56009
Dickinson,Iowa,19,059,19059
Lincoln,Wyoming,56,023,56023
O'Brien,Iowa,19,141,19141
Cerro Gordo,Iowa,19,033,19033
Clay,Iowa,19,041,19041
Minidoka,Idaho,16,067,16067
Fayette,Iowa,19,065,19065
Bannock,Idaho,16,005,16005
Bremer,Iowa,19,017,19017
Twin Falls,Idaho,16,083,16083
Holt,Nebraska,31,089,31089
Middlesex,Massachusetts,25,017,25017
Worcester,Massachusetts,25,027,25027
Buchanan,Iowa,19,019,19019
Grundy,Iowa,19,075,19075
Dakota,Nebraska,31,043,31043
Albany,Wyoming,56,001,56001
Jackson,Iowa,19,097,19097
Benton,Iowa,19,011,19011
Sweetwater,Wyoming,56,037,56037
Plymouth,Massachusetts,25,023,25023
Monona,Iowa,19,133,19133
Crawford,Iowa,19,047,19047
Carroll,Iowa,19,027,19027
Boone,Iowa,19,015,19015
Marshall,Iowa,19,127,19127
Madison,Nebraska,31,119,31119
Cache,Utah,49,005,49005
Box Elder,Utah,49,003,49003
Cedar,Iowa,19,031,19031
Jasper,Iowa,19,099,19099
Harrison,Iowa,19,085,19085
Guthrie,Iowa,19,077,19077
Shelby,Iowa,19,165,19165
Iowa,Iowa,19,095,19095
Dallas,Iowa,19,049,19049
Johnson,Iowa,19,103,19103
Dodge,Nebraska,31,053,31053
Platte,Nebraska,31,141,31141
Will,Illinois,17,197,17197
Kendall,Illinois,17,093,17093
La Salle,Illinois,17,099,17099
Lycoming,Pennsylvania,42,081,42081
Muscatine,Iowa,19,139,19139
Henry,Illinois,17,073,17073
Uinta,Wyoming,56,041,56041
Mahaska,Iowa,19,123,19123
Pottawattamie,Iowa,19,155,19155
Washington,Iowa,19,183,19183
Madison,Iowa,19,121,19121
Warren,Iowa,19,181,19181
Keokuk,Iowa,19,107,19107
Sandusky,Ohio,39,143,39143
Henry,Ohio,39,069,39069
Clinton,Pennsylvania,42,035,42035
Kosciusko,Indiana,18,085,18085
Clarion,Pennsylvania,42,031,42031
Lincoln,Nebraska,31,111,31111
Keith,Nebraska,31,101,31101
Jefferson,Pennsylvania,42,065,42065
Westchester,New York,36,119,36119
Sussex,New Jersey,34,037,34037
Centre,Pennsylvania,42,027,42027
Monroe,Pennsylvania,42,089,42089
